trials, time for mcdf, time for bcdf
10,0.0021612,0.0172303
20,0.001910999,9.65E-5
30,0.0054858,1.01099E-4
40,0.009549001,1.058E-4
50,0.0170376,1.42299E-4
60,0.028765999,1.457E-4
70,0.045279799,1.558E-4
80,0.068673801,9.65E-5
90,0.0938224,1.152E-4
100,0.130148401,1.155E-4
110,0.1712016,1.00901E-4
120,0.222870099,1.01699E-4
130,0.288037601,9.41E-5
140,0.3617949,1.089E-4
150,0.4443088,1.193E-4
160,0.540847601,1.168E-4
170,0.6912063,3.66901E-4
180,0.9077606,9.7599E-5
190,1.091681,1.48701E-4
200,1.0733548,5.942E-4
210,1.2597031,3.16399E-4
220,1.4487566,1.163E-4
230,1.7558178,1.366E-4
240,1.9552337,1.06401E-4
250,2.0921144,1.116E-4
260,2.2582897,9.8499E-5
270,2.5938902,1.374E-4
280,3.0003867,1.082E-4
290,3.2206092,2.611E-4
300,3.5077045,1.048E-4
310,3.8656519,1.042E-4
320,4.2344008,1.096E-4
330,4.637909899,1.29699E-4
340,5.1263334,8.9401E-5
350,5.580454299,1.066E-4
360,6.068752599,9.72E-5
370,6.611011301,1.11001E-4
380,7.3984755,1.316E-4
390,7.9982323,1.59401E-4
400,8.3024653,1.17E-4
410,8.9991663,1.033E-4
420,9.523145199,1.08101E-4
430,10.287566299,1.216E-4
440,11.084653101,1.08E-4
450,12.2289603,4.652E-4
460,12.845662,1.17901E-4
470,13.332175401,1.108E-4
480,14.5363954,1.17399E-4
490,15.6026594,1.11201E-4
500,18.0401545,1.455E-4
510,18.593140699,1.265E-4
520,18.584445799,7.89E-5
530,20.0819733,9.6799E-5
540,20.552004001,1.043E-4
550,21.9157693,1.209E-4
560,23.1733543,9.2399E-5
570,24.607654401,7.9699E-5
580,25.3313791,7.79E-5
590,27.8965282,8.69E-5
600,28.6362563,1.178E-4
610,30.1639507,9.76E-5
620,31.6845625,1.07E-4
630,33.3449212,9.88E-5
640,34.9624397,1.3E-4
650,36.6988229,1.205E-4
660,38.2905172,8.95E-5
670,40.1672634,8.71E-5
680,44.8772426,9.19E-5
690,45.1755888,9.17E-5
700,47.5209779,8.87E-5
710,47.8292895,9.08E-5
720,52.7302007,3.172E-4
730,54.8255482,4.222E-4
740,57.5900869,8.62E-5
750,58.1059606,9.7E-5
760,67.1406398,1.325E-4
770,65.4663222,1.055E-4
780,64.0468081,1.061E-4
790,65.0891543,8.84E-5
800,67.103333,8.14E-5
810,70.3869105,9.85E-5
820,72.147972,9.62E-5
830,75.2508512,9.37E-5
840,79.557996,9.11E-5
850,79.9624639,9.05E-5
860,82.6891036,1.412E-4
870,120.9683976,1.38E-4
880,138.7925123,1.17E-4
890,144.9318267,1.353E-4
900,145.8611121,1.987E-4
910,137.7917065,8.85E-5
920,131.4695591,1.074E-4
930,134.3968846,1.347E-4
940,110.982384,8.65E-5
950,114.5611062,7.95E-5
960,123.9958239,1.05E-4
970,127.0851459,1.303E-4
980,130.055705,1.032E-4
990,130.9459904,1.885E-4
1000,135.3412794,1.679E-4
